Drop Number,Drop ID,Date,System,Sus Weight (lbs),Rigged Weight (lbs),Drop Altitude (ft),AGL vs MSL,Retaining Drogue - Version,iDAQ/FlySight S/N,Planned Activation Alt (ft AGL),Activation Altitude (ft AGL) - Log,Drop Zone (DZ),DZ Altitude (ft MSL),Planned Impact Point Latitude,Planned Impact Point Longitude,AMP Calc Release Point Latitude,AMP Calc Release Point Longitude,Failure Y/N,Failure Mode,Notes
143,AD 25-0643a,8/5/25,.5K T-11M Single AAD,172,211,3500,AGL,T-11 Dbag Retaining Version 1,"FS 025, 014",1200,1182,Corral,1249,33.32597,-114.3705,33.324207,-114.366521,,,
145,AD 25-0644a,8/5/25,.5K T-11M Single AAD,172,211,3500,AGL,T-11 Dbag Retaining Version 1,"FS 017, 026",1200,1188,Corral,1249,33.32597,-114.3705,33.324207,-114.365437,,,
148,AD 25-0646,8/5/25,2K G15 AAD,500,647,3500,AGL,No Retention,FS 011,1200,1191,Corral,1249,33.32597,-114.3705,33.324707,-114.365316,,,
149,AD 25-0647,8/5/25,2K G15 AAD,500,655,3500,AGL,No Retention,FS 022,1200,1188,Corral,1249,33.32597,-114.3705,33.324707,-114.365316,,,
150,AD 25-0648,8/5/25,2K G15 AAD,500,662,3500,AGL,No Retention,FS 004,1200,1182,Corral,1249,33.32597,-114.3705,33.324707,-114.365316,,,
151,AD 25-0649,8/5/25,2K G15 AAD,500,662,3500,AGL,No Retention,FS 029,1200,1183,Corral,1249,33.32597,-114.3705,33.324707,-114.365316,,,
152,AD 25-0650,8/5/25,2K G15 AAD,500,655,3500,AGL,No Retention,FS 005,1200,1193,Corral,1249,33.32597,-114.3705,33.324707,-114.365316,,,
153,AD 25-0651,8/5/25,2K G15 AAD,1000,1144,3500,AGL,No Retention,"FS 002, 008",1200,1190,Corral,1249,33.32597,-114.3705,33.324968,-114.364265,,,
154,AD 25-0652,8/5/25,2K G15 AAD,1000,1151,3500,AGL,No Retention,"FS 009, 019",1200,,Corral,1249,33.32597,-114.3705,33.324968,-114.364265,,,did not pull log
155,AD 25-0653,8/5/25,2K G15 AAD,1000,1152,3500,AGL,No Retention,"FS 018, 007",1200,1168,Corral,1249,33.32597,-114.3705,33.324968,-114.364265,,,"main parachute fell off the bundle, still transitioned to main"
161,AD 25-0663a,8/7/25,.5K T-11M Single AAD,200,245,17999,MSL,T-11 Dbag Retaining Version 1,"FS 002, 019, 026",1200,1189,Corral,1249,33.32597,-114.3705,33.320267,-114.3705,,,
163,AD 25-0664a,8/7/25,.5K T-11M Single AAD,200,241,17999,MSL,T-11 Dbag Retaining Version 1,"FS 022, 011",1200,1198,Corral,1249,33.32597,-114.3705,33.320168,-114.370136,,,
166,AD 25-0665,8/7/25,2K G15 AAD,1000,1148,17999,MSL,No Retention,"FS 044, 027",1200,1168,Corral,1249,33.32597,-114.3705,33.319977,-114.367418,,,
167,AD 25-0666,8/7/25,2K G15 AAD,1000,1146,17999,MSL,No Retention,"FS 018, 025",1200,1182,Corral,1249,33.32597,-114.3705,33.319977,-114.367418,,,"main parachute fell off the bundle, still transitioned to main"
168,AD 25-0667,8/7/25,2K G15 AAD,2100,2238,17999,MSL,No Retention,"FS 028, 007",1200,1109,Corral,1249,33.32597,-114.3705,33.321388,-114.365324,,,
169,AD 25-0668,8/7/25,2K G15 AAD,2100,2236,17999,MSL,No Retention,"FS 016, 029",1200,1164,Corral,1249,33.32597,-114.3705,33.321388,-114.365324,,,
170,AD 25-0669,8/7/25,2K G15 AAD,2100,2230,17999,MSL,No Retention,"FS 009, 017",1200,1179,Corral,1249,33.32597,-114.3705,33.321388,-114.364107,,,
171,AD 25-0670,8/7/25,2K G15 AAD,2100,2241,17999,MSL,No Retention,"FS 012, 024",1200,1148,Corral,1249,33.32597,-114.3705,33.321388,-114.364107,,,
172,AD 25-0671,8/7/25,2K G15 AAD,2100,2235,17999,MSL,No Retention,"FS 023, 015",1200,1188,Corral,1249,33.32597,-114.3705,33.321388,-114.364107,,,
110,AD 25-0672a,8/7/25,2K LCADS AAD,700,895,17999,MSL,No Retention,"FS 005, 008",1700,1696,Corral,1249,33.32597,-114.3705,33.319914,-114.367961,,,
130,AD 25-0673a,8/7/25,2K LCADS AAD,1800,2000,17999,MSL,No Retention,"FS 010, 004",1700,1643,Corral,1249,33.32597,-114.3705,33.321605,-114.365268,,,
