timestamp,latitude,longitude,altitude
0,42.27267,-71.79663,1618
0.2,42.27268,-71.79663,1617.4
0.4,42.27269,-71.79662,1616.5
0.6,42.2727,-71.79662,1615.7
0.8,42.2727,-71.79662,1614.8
1,42.27271,-71.79661,1613.9
1.2,42.27272,-71.79661,1613.2
1.4,42.27273,-71.79661,1612.4
1.6,42.27274,-71.79661,1611.5
1.8,42.27275,-71.79661,1610.6
2,42.27276,-71.7966,1609.7
2.2,42.27277,-71.7966,1608.9
2.4,42.27278,-71.7966,1608.1
2.6,42.27279,-71.7966,1607.2
2.8,42.27279,-71.7966,1606.5
3,42.2728,-71.7966,1605.6
3.2,42.27281,-71.7966,1604.7
3.4,42.27282,-71.7966,1603.8
3.6,42.27283,-71.7966,1602.9
3.8,42.27284,-71.7966,1602.2
4,42.27285,-71.7966,1601.3
4.2,42.27286,-71.7966,1600.4
4.4,42.27286,-71.7966,1599.8
4.6,42.27287,-71.7966,1598.9
4.8,42.27288,-71.7966,1598.1
5,42.27289,-71.7966,1597.2
5.2,42.2729,-71.7966,1596.3
5.4,42.27291,-71.7966,1595.6
5.6,42.27291,-71.7966,1594.7
5.8,42.27292,-71.79659,1593.8
6,42.27293,-71.79659,1593.1
6.2,42.27294,-71.79659,1592.3
6.4,42.27294,-71.79658,1591.4
6.6,42.27295,-71.79658,1590.5
6.8,42.27296,-71.79658,1589.6
7,42.27297,-71.79658,1588.8
7.2,42.27298,-71.79657,1587.9
7.4,42.27299,-71.79657,1587
7.6,42.27299,-71.79656,1586.1
7.8,42.273,-71.79656,1585.2
8,42.27301,-71.79655,1584.4
8.2,42.27302,-71.79655,1583.5
8.4,42.27303,-71.79654,1582.6
8.6,42.27303,-71.79653,1581.9
8.8,42.27304,-71.79653,1581
9,42.27305,-71.79652,1580.1
9.2,42.27306,-71.79652,1579.3
9.4,42.27307,-71.79651,1578.4
9.6,42.27308,-71.79651,1577.6
9.8,42.27309,-71.7965,1576.8
10,42.2731,-71.7965,1575.9
10.2,42.2731,-71.79649,1575.2
10.4,42.27311,-71.79649,1574.3
10.6,42.27312,-71.79648,1573.4
10.8,42.27313,-71.79648,1572.6
11,42.27314,-71.79648,1571.7
11.2,42.27315,-71.79648,1570.9
11.4,42.27316,-71.79647,1570
11.6,42.27317,-71.79647,1569.1
11.8,42.27318,-71.79647,1568.2
12,42.27319,-71.79646,1567.3
12.2,42.2732,-71.79646,1566.5
12.4,42.2732,-71.79646,1565.6
12.6,42.27321,-71.79646,1564.7
12.8,42.27322,-71.79646,1564
13,42.27323,-71.79646,1563.2
13.2,42.27324,-71.79645,1562.3
13.4,42.27325,-71.79645,1561.4
13.6,42.27325,-71.79645,1560.5
13.8,42.27326,-71.79645,1559.7
14,42.27327,-71.79645,1558.9
14.2,42.27328,-71.79644,1558
14.4,42.27328,-71.79644,1557.3
14.6,42.27329,-71.79644,1556.4
14.8,42.2733,-71.79643,1555.5
15,42.27331,-71.79643,1554.7
15.2,42.27331,-71.79643,1553.8
15.4,42.27332,-71.79642,1553
15.6,42.27333,-71.79642,1552.1
15.8,42.27333,-71.79641,1551.3
16,42.27334,-71.79641,1550.5
