timestamp,latitude,longitude,altitude
0,42.27178,-71.7995,1378.8
0.2,42.27178,-71.7995,1378
0.4,42.27179,-71.7995,1377.3
0.6,42.27179,-71.79949,1376.4
0.8,42.2718,-71.79949,1375.6
1,42.27181,-71.79949,1374.9
1.2,42.27181,-71.79948,1374.1
1.4,42.27182,-71.79948,1373.3
1.6,42.27183,-71.79948,1372.4
1.8,42.27183,-71.79947,1371.6
2,42.27184,-71.79947,1370.8
2.2,42.27185,-71.79947,1370
2.4,42.27185,-71.79946,1369.2
2.6,42.27186,-71.79946,1368.5
2.8,42.27187,-71.79946,1367.7
3,42.27188,-71.79945,1366.9
3.2,42.27188,-71.79945,1366
3.4,42.27189,-71.79944,1365.2
3.6,42.2719,-71.79944,1364.5
3.8,42.27191,-71.79944,1363.6
4,42.27192,-71.79943,1362.8
4.2,42.27192,-71.79943,1362.1
4.4,42.27193,-71.79943,1361.3
4.6,42.27194,-71.79943,1360.5
4.8,42.27195,-71.79942,1359.6
5,42.27196,-71.79942,1358.8
5.2,42.27197,-71.79942,1358.1
5.4,42.27197,-71.79941,1357.2
5.6,42.27198,-71.79941,1356.4
5.8,42.27199,-71.79941,1355.7
6,42.272,-71.79941,1354.8
6.2,42.27201,-71.7994,1354
6.4,42.27202,-71.7994,1353.1
6.6,42.27202,-71.79939,1352.3
6.8,42.27203,-71.79939,1351.6
7,42.27204,-71.79939,1350.8
7.2,42.27205,-71.79939,1350
7.4,42.27205,-71.79938,1349.3
7.6,42.27206,-71.79938,1348.4
7.8,42.27207,-71.79938,1347.6
8,42.27207,-71.79937,1346.8
8.2,42.27208,-71.79937,1345.9
8.4,42.27209,-71.79937,1345.2
8.6,42.2721,-71.79937,1344.4
8.8,42.2721,-71.79936,1343.6
9,42.27211,-71.79936,1342.9
9.2,42.27212,-71.79936,1342.1
9.4,42.27213,-71.79935,1341.2
9.6,42.27213,-71.79935,1340.4
9.8,42.27214,-71.79934,1339.6
10,42.27215,-71.79934,1338.9
10.2,42.27216,-71.79934,1338
10.4,42.27217,-71.79933,1337.2
10.6,42.27217,-71.79933,1336.5
10.8,42.27218,-71.79933,1335.7
11,42.27219,-71.79932,1334.9
11.2,42.2722,-71.79932,1334
11.4,42.27221,-71.79932,1333.2
11.6,42.27221,-71.79931,1332.5
11.8,42.27222,-71.79931,1331.7
12,42.27223,-71.79931,1330.8
12.2,42.27223,-71.79931,1330.2
12.4,42.27224,-71.7993,1329.4
12.6,42.27225,-71.7993,1328.6
12.8,42.27226,-71.7993,1327.7
13,42.27226,-71.79929,1326.9
13.2,42.27227,-71.79929,1326.2
13.4,42.27228,-71.79929,1325.4
13.6,42.27229,-71.79928,1324.6
13.8,42.27229,-71.79928,1324
14,42.2723,-71.79928,1323.2
14.2,42.27231,-71.79927,1322.3
14.4,42.27232,-71.79927,1321.5
14.6,42.27232,-71.79926,1320.6
14.8,42.27233,-71.79926,1319.9
15,42.27234,-71.79925,1319.1
15.2,42.27234,-71.79925,1318.3
15.4,42.27235,-71.79924,1317.6
15.6,42.27236,-71.79924,1316.8
15.8,42.27236,-71.79923,1316
16,42.27237,-71.79923,1315.2
16.2,42.27237,-71.79922,1314.3
16.4,42.27238,-71.79922,1313.6
16.6,42.27239,-71.79921,1312.8
16.8,42.27239,-71.7992,1311.9
17,42.2724,-71.7992,1311.3
17.2,42.2724,-71.7992,1310.5
17.4,42.27241,-71.79919,1309.7
17.6,42.27241,-71.79919,1308.8
17.8,42.27242,-71.79918,1308
18,42.27242,-71.79918,1307.3
18.2,42.27243,-71.79917,1306.4
18.4,42.27244,-71.79917,1305.6
18.6,42.27244,-71.79916,1304.9
18.8,42.27245,-71.79916,1304.1
19,42.27245,-71.79915,1303.3
19.2,42.27246,-71.79915,1302.5
19.4,42.27246,-71.79914,1301.7
19.6,42.27247,-71.79914,1300.9
19.8,42.27247,-71.79913,1300.1
20,42.27248,-71.79913,1299.3
20.2,42.27248,-71.79912,1298.6
20.4,42.27249,-71.79912,1297.8
20.6,42.27249,-71.79911,1297
20.8,42.2725,-71.79911,1296.2
21,42.27251,-71.7991,1295.3
21.2,42.27251,-71.7991,1294.6
21.4,42.27252,-71.7991,1293.8
21.6,42.27252,-71.79909,1292.9
21.8,42.27253,-71.79909,1292.3
22,42.27253,-71.79908,1291.5
22.2,42.27254,-71.79908,1290.6
22.4,42.27255,-71.79908,1289.8
22.6,42.27255,-71.79907,1288.9
22.8,42.27256,-71.79907,1288.2
23,42.27256,-71.79906,1287.4
23.2,42.27257,-71.79906,1286.5
23.4,42.27258,-71.79905,1285.9
23.6,42.27258,-71.79905,1285.1
23.8,42.27259,-71.79904,1284.2
24,42.2726,-71.79904,1283.4
24.2,42.2726,-71.79903,1282.5
24.4,42.27261,-71.79903,1281.8
24.6,42.27261,-71.79902,1281
24.8,42.27262,-71.79901,1280.1
25,42.27263,-71.79901,1279.5
25.2,42.27263,-71.79901,1278.7
25.4,42.27264,-71.799,1277.9
25.6,42.27265,-71.799,1277.1
25.8,42.27265,-71.79899,1276.2
26,42.27266,-71.79899,1275.5
26.2,42.27267,-71.79898,1274.7
26.4,42.27267,-71.79898,1273.8
26.6,42.27268,-71.79898,1273.2
26.8,42.27269,-71.79897,1272.4
27,42.27269,-71.79897,1271.6
27.2,42.2727,-71.79896,1270.8
27.4,42.27271,-71.79895,1269.9
27.6,42.27271,-71.79895,1269.2
27.8,42.27272,-71.79894,1268.3
28,42.27273,-71.79894,1267.5
28.2,42.27273,-71.79893,1266.8
28.4,42.27274,-71.79893,1266
28.6,42.27275,-71.79892,1265.2
28.8,42.27275,-71.79892,1264.3
29,42.27276,-71.79891,1263.5
29.2,42.27277,-71.79891,1262.8
29.4,42.27277,-71.7989,1262
29.6,42.27278,-71.7989,1261.2
29.8,42.27278,-71.79889,1260.5
30,42.27279,-71.79889,1259.7
30.2,42.27279,-71.79888,1258.8
30.4,42.2728,-71.79888,1258
30.6,42.27281,-71.79887,1257.1
30.8,42.27281,-71.79887,1256.4
31,42.27282,-71.79886,1255.6
31.2,42.27282,-71.79886,1254.8
31.4,42.27283,-71.79886,1254.1
31.6,42.27283,-71.79885,1253.3
31.8,42.27284,-71.79885,1252.5
32,42.27285,-71.79884,1251.6
32.2,42.27285,-71.79884,1250.8
32.4,42.27286,-71.79883,1250.1
32.6,42.27286,-71.79883,1249.3
32.8,42.27287,-71.79882,1248.4
33,42.27287,-71.79881,1247.8
33.2,42.27288,-71.79881,1247
33.4,42.27289,-71.7988,1246.2
33.6,42.27289,-71.7988,1245.3
33.8,42.2729,-71.79879,1244.5
34,42.2729,-71.79879,1243.8
34.2,42.2729,-71.79878,1242.9
34.4,42.27291,-71.79878,1242.1
34.6,42.27291,-71.79877,1241.5
34.8,42.27292,-71.79877,1240.6
35,42.27292,-71.79876,1239.8
35.2,42.27293,-71.79876,1239
35.4,42.27293,-71.79875,1238.1
