timestamp,latitude,longitude,altitude
0,42.27193,-71.79633,1566.1
0.2,42.27194,-71.79633,1565.5
0.4,42.27194,-71.79632,1564.6
0.6,42.27195,-71.79632,1563.8
0.8,42.27196,-71.79632,1563
1,42.27197,-71.79632,1562.1
1.2,42.27198,-71.79632,1561.4
1.4,42.27199,-71.79631,1560.6
1.6,42.272,-71.79631,1559.7
1.8,42.272,-71.79631,1559.1
2,42.27201,-71.79631,1558.3
2.2,42.27202,-71.79631,1557.4
2.4,42.27203,-71.7963,1556.6
2.6,42.27203,-71.7963,1555.8
2.8,42.27204,-71.7963,1555
3,42.27205,-71.7963,1554.2
3.2,42.27206,-71.79629,1553.4
3.4,42.27206,-71.79629,1552.7
3.6,42.27207,-71.79629,1551.9
3.8,42.27208,-71.79629,1551
4,42.27208,-71.79628,1550.2
4.2,42.27209,-71.79628,1549.4
4.4,42.2721,-71.79628,1548.6
4.6,42.27211,-71.79628,1547.8
4.8,42.27212,-71.79627,1546.9
5,42.27213,-71.79627,1546.1
5.2,42.27213,-71.79627,1545.2
5.4,42.27214,-71.79626,1544.5
5.6,42.27215,-71.79626,1543.6
5.8,42.27216,-71.79626,1542.8
6,42.27216,-71.79625,1542.1
6.2,42.27217,-71.79625,1541.3
6.4,42.27218,-71.79625,1540.5
6.6,42.27219,-71.79624,1539.6
6.8,42.2722,-71.79624,1538.8
7,42.2722,-71.79623,1538.1
7.2,42.27221,-71.79623,1537.2
7.4,42.27222,-71.79623,1536.4
7.6,42.27222,-71.79622,1535.7
7.8,42.27223,-71.79622,1534.8
8,42.27224,-71.79622,1534
8.2,42.27224,-71.79621,1533.2
8.4,42.27225,-71.79621,1532.3
8.6,42.27226,-71.79621,1531.6
8.8,42.27226,-71.79621,1530.7
9,42.27227,-71.7962,1529.8
9.2,42.27228,-71.7962,1528.9
9.4,42.27228,-71.7962,1528.1
9.6,42.27229,-71.79619,1527.3
9.8,42.2723,-71.79619,1526.5
10,42.2723,-71.79619,1525.6
10.2,42.27231,-71.79618,1524.9
10.4,42.27232,-71.79618,1524.1
10.6,42.27232,-71.79618,1523.2
10.8,42.27233,-71.79617,1522.4
11,42.27234,-71.79617,1521.5
11.2,42.27235,-71.79617,1520.7
11.4,42.27235,-71.79616,1519.9
11.6,42.27236,-71.79616,1519.1
11.8,42.27237,-71.79616,1518.4
12,42.27238,-71.79615,1517.6
12.2,42.27238,-71.79615,1516.7
12.4,42.27239,-71.79615,1515.9
12.6,42.2724,-71.79614,1515
12.8,42.27241,-71.79614,1514.3
13,42.27242,-71.79614,1513.4
13.2,42.27242,-71.79614,1512.6
13.4,42.27243,-71.79613,1511.9
13.6,42.27244,-71.79613,1511.1
13.8,42.27245,-71.79613,1510.2
14,42.27246,-71.79612,1509.4
14.2,42.27247,-71.79612,1508.6
14.4,42.27248,-71.79612,1507.8
14.6,42.27248,-71.79612,1506.9
14.8,42.27249,-71.79611,1506
15,42.2725,-71.79611,1505.2
15.2,42.27251,-71.79611,1504.4
15.4,42.27252,-71.7961,1503.6
15.6,42.27253,-71.7961,1502.8
15.8,42.27253,-71.79609,1502
16,42.27254,-71.79609,1501.2
16.2,42.27255,-71.79609,1500.4
16.4,42.27256,-71.79609,1499.5
16.6,42.27256,-71.79608,1498.7
16.8,42.27257,-71.79608,1497.8
17,42.27258,-71.79608,1497.1
17.2,42.27258,-71.79607,1496.3
17.4,42.27259,-71.79607,1495.5
17.6,42.2726,-71.79607,1494.8
17.8,42.27261,-71.79606,1493.9
18,42.27261,-71.79606,1493.1
18.2,42.27262,-71.79606,1492.2
18.4,42.27263,-71.79605,1491.4
18.6,42.27264,-71.79605,1490.7
18.8,42.27264,-71.79605,1489.8
19,42.27265,-71.79604,1488.9
19.2,42.27266,-71.79604,1488.1
19.4,42.27267,-71.79603,1487.2
19.6,42.27268,-71.79603,1486.4
19.8,42.27269,-71.79603,1485.6
20,42.27269,-71.79602,1484.8
20.2,42.2727,-71.79602,1484.1
20.4,42.27271,-71.79602,1483.3
20.6,42.27271,-71.79602,1482.4
20.8,42.27272,-71.79601,1481.6
21,42.27273,-71.79601,1480.7
21.2,42.27274,-71.79601,1479.9
21.4,42.27274,-71.796,1479.1
21.6,42.27275,-71.796,1478.3
21.8,42.27276,-71.796,1477.6
22,42.27276,-71.796,1476.8
22.2,42.27277,-71.79599,1475.9
22.4,42.27278,-71.79599,1475.1
22.6,42.27279,-71.79599,1474.3
22.8,42.27279,-71.79598,1473.5
23,42.2728,-71.79598,1472.7
23.2,42.27281,-71.79598,1471.8
23.4,42.27281,-71.79597,1471.2
23.6,42.27282,-71.79597,1470.3
23.8,42.27283,-71.79596,1469.5
24,42.27283,-71.79596,1468.6
24.2,42.27284,-71.79595,1467.8
24.4,42.27285,-71.79595,1467
24.6,42.27285,-71.79594,1466.2
24.8,42.27286,-71.79594,1465.3
25,42.27286,-71.79593,1464.4
25.2,42.27287,-71.79593,1463.6
25.4,42.27288,-71.79592,1462.8
25.6,42.27288,-71.79592,1462
25.8,42.27289,-71.79591,1461.2
26,42.27289,-71.79591,1460.5
