timestamp,latitude,longitude,altitude
0,42.27407,-71.71017,1712
0.2,42.27406,-71.71024,1712
0.4,42.27406,-71.71033,1712
0.6,42.27405,-71.71044,1712
0.8,42.27404,-71.71053,1712
1,42.27404,-71.71062,1712
1.2,42.27403,-71.71071,1712
1.4,42.27402,-71.7108,1712.1
1.6,42.27402,-71.71091,1712.1
1.8,42.27401,-71.711,1712.1
2,42.274,-71.71109,1712.1
2.2,42.274,-71.71118,1712.1
2.4,42.27399,-71.71127,1712.1
2.6,42.27399,-71.71136,1712.1
2.8,42.27398,-71.71143,1712.1
3,42.27397,-71.71152,1712.1
3.2,42.27397,-71.71163,1712.2
3.4,42.27396,-71.71172,1712.2
3.6,42.27396,-71.71181,1712.2
3.8,42.27395,-71.71189,1712.2
4,42.27394,-71.71198,1712.2
4.2,42.27394,-71.71207,1712.2
4.4,42.27393,-71.71214,1712.2
4.6,42.27393,-71.71223,1712.2
4.8,42.27392,-71.71234,1712.2
5,42.27392,-71.71243,1712.2
5.2,42.27391,-71.71252,1712.2
5.4,42.27391,-71.7126,1712.2
5.6,42.2739,-71.71269,1712.2
5.8,42.2739,-71.71278,1712.2
6,42.27389,-71.71285,1712.3
6.2,42.27389,-71.71294,1712.3
6.4,42.27388,-71.71305,1712.3
6.6,42.27387,-71.71314,1712.3
6.8,42.27387,-71.71324,1712.3
7,42.27386,-71.71332,1712.3
7.2,42.27386,-71.71341,1712.3
7.4,42.27385,-71.71352,1712.3
7.6,42.27385,-71.71361,1712.3
7.8,42.27384,-71.71371,1712.3
8,42.27384,-71.71379,1712.3
8.2,42.27383,-71.71388,1712.3
8.4,42.27383,-71.71397,1712.3
8.6,42.27382,-71.71404,1712.3
8.8,42.27382,-71.71413,1712.3
9,42.27381,-71.71424,1712.3
9.2,42.27381,-71.71433,1712.3
9.4,42.2738,-71.71443,1712.3
9.6,42.2738,-71.71451,1712.3
9.8,42.2738,-71.7146,1712.3
10,42.27379,-71.71469,1712.3
10.2,42.27379,-71.71476,1712.3
10.4,42.27378,-71.71485,1712.3
10.6,42.27378,-71.71496,1712.3
10.8,42.27377,-71.71505,1712.3
11,42.27377,-71.71514,1712.3
11.2,42.27376,-71.71523,1712.3
11.4,42.27376,-71.71532,1712.3
11.6,42.27375,-71.71543,1712.3
11.8,42.27375,-71.71552,1712.3
12,42.27375,-71.71562,1712.3
12.2,42.27374,-71.7157,1712.3
12.4,42.27374,-71.71579,1712.3
12.6,42.27373,-71.71588,1712.3
12.8,42.27373,-71.71595,1712.3
13,42.27372,-71.71604,1712.3
13.2,42.27372,-71.71615,1712.3
13.4,42.27372,-71.71624,1712.3
13.6,42.27371,-71.71634,1712.3
13.8,42.27371,-71.71642,1712.3
14,42.2737,-71.71651,1712.3
14.2,42.2737,-71.7166,1712.3
14.4,42.2737,-71.71667,1712.4
14.6,42.27369,-71.71676,1712.4
14.8,42.27369,-71.71687,1712.4
15,42.27368,-71.71696,1712.4
15.2,42.27368,-71.71705,1712.4
15.4,42.27368,-71.71714,1712.4
15.6,42.27367,-71.71723,1712.4
15.8,42.27367,-71.71732,1712.4
16,42.27367,-71.71739,1712.4
16.2,42.27366,-71.71748,1712.4
16.4,42.27366,-71.71759,1712.4
16.6,42.27365,-71.71768,1712.4
16.8,42.27365,-71.71777,1712.4
17,42.27365,-71.71786,1712.4
17.2,42.27364,-71.71795,1712.4
17.4,42.27364,-71.71806,1712.3
17.6,42.27363,-71.71815,1712.3
17.8,42.27363,-71.71825,1712.3
18,42.27363,-71.71833,1712.3
18.2,42.27362,-71.71842,1712.3
18.4,42.27362,-71.71851,1712.3
18.6,42.27362,-71.71859,1712.3
18.8,42.27361,-71.71868,1712.3
19,42.27361,-71.71879,1712.3
19.2,42.27361,-71.71888,1712.3
19.4,42.2736,-71.71897,1712.3
19.6,42.2736,-71.71905,1712.3
19.8,42.2736,-71.71915,1712.3
20,42.27359,-71.71924,1712.3
