timestamp,latitude,longitude,altitude
0,42.27342,-71.71133,1753.2
0.2,42.27341,-71.71142,1753.2
0.4,42.2734,-71.71151,1753.3
0.6,42.2734,-71.7116,1753.3
0.8,42.27339,-71.71169,1753.3
1,42.27339,-71.71179,1753.3
1.2,42.27338,-71.71188,1753.3
1.4,42.27337,-71.71197,1753.3
1.6,42.27337,-71.71207,1753.3
1.8,42.27336,-71.71216,1753.3
2,42.27336,-71.71225,1753.3
2.2,42.27335,-71.71233,1753.3
2.4,42.27334,-71.71242,1753.3
2.6,42.27334,-71.71252,1753.3
2.8,42.27333,-71.71261,1753.4
3,42.27333,-71.7127,1753.4
3.2,42.27332,-71.71278,1753.4
3.4,42.27332,-71.71287,1753.4
3.6,42.27331,-71.71296,1753.4
3.8,42.2733,-71.71304,1753.4
4,42.2733,-71.71313,1753.4
4.2,42.27329,-71.71323,1753.4
4.4,42.27329,-71.71332,1753.4
4.6,42.27328,-71.71341,1753.4
4.8,42.27328,-71.7135,1753.4
5,42.27327,-71.71359,1753.4
5.2,42.27327,-71.71369,1753.4
5.4,42.27326,-71.71378,1753.4
5.6,42.27326,-71.71387,1753.4
5.8,42.27325,-71.71397,1753.4
6,42.27325,-71.71406,1753.4
6.2,42.27324,-71.71415,1753.4
6.4,42.27324,-71.71423,1753.4
6.6,42.27323,-71.71432,1753.4
6.8,42.27323,-71.71442,1753.4
7,42.27322,-71.71451,1753.4
7.2,42.27322,-71.7146,1753.4
7.4,42.27321,-71.71469,1753.4
7.6,42.27321,-71.71478,1753.4
7.8,42.2732,-71.71487,1753.4
8,42.2732,-71.71495,1753.5
8.2,42.27319,-71.71504,1753.5
8.4,42.27319,-71.71514,1753.5
8.6,42.27318,-71.71523,1753.5
8.8,42.27318,-71.71532,1753.5
9,42.27317,-71.71541,1753.5
9.2,42.27317,-71.7155,1753.5
9.4,42.27316,-71.71559,1753.5
9.6,42.27316,-71.71567,1753.5
9.8,42.27316,-71.71576,1753.5
10,42.27315,-71.71585,1753.5
10.2,42.27315,-71.71594,1753.5
10.4,42.27314,-71.71604,1753.5
10.6,42.27314,-71.71612,1753.5
10.8,42.27313,-71.71621,1753.5
11,42.27313,-71.71632,1753.5
11.2,42.27312,-71.71641,1753.5
11.4,42.27312,-71.7165,1753.5
11.6,42.27312,-71.71659,1753.5
11.8,42.27311,-71.71668,1753.5
12,42.27311,-71.71677,1753.5
12.2,42.2731,-71.71685,1753.5
12.4,42.2731,-71.71694,1753.5
12.6,42.27309,-71.71705,1753.5
12.8,42.27309,-71.71714,1753.5
13,42.27309,-71.71723,1753.5
13.2,42.27308,-71.71732,1753.5
13.4,42.27308,-71.71741,1753.5
13.6,42.27307,-71.7175,1753.5
13.8,42.27307,-71.71758,1753.5
14,42.27307,-71.71767,1753.5
14.2,42.27306,-71.71777,1753.5
14.4,42.27306,-71.71786,1753.5
14.6,42.27305,-71.71795,1753.5
14.8,42.27305,-71.71804,1753.5
15,42.27305,-71.71813,1753.5
15.2,42.27304,-71.71823,1753.5
15.4,42.27304,-71.71832,1753.5
15.6,42.27303,-71.71841,1753.5
15.8,42.27303,-71.7185,1753.5
16,42.27303,-71.7186,1753.5
16.2,42.27302,-71.71869,1753.5
16.4,42.27302,-71.71877,1753.5
16.6,42.27302,-71.71886,1753.5
16.8,42.27301,-71.71896,1753.5
17,42.27301,-71.71905,1753.5
17.2,42.27301,-71.71914,1753.5
17.4,42.273,-71.71923,1753.5
17.6,42.273,-71.71932,1753.5
17.8,42.27299,-71.71941,1753.5
18,42.27299,-71.71949,1753.5
18.2,42.27299,-71.71958,1753.5
18.4,42.27298,-71.71968,1753.5
18.6,42.27298,-71.71977,1753.5
18.8,42.27298,-71.71986,1753.5
19,42.27297,-71.71995,1753.5
19.2,42.27297,-71.72004,1753.5
19.4,42.27297,-71.72013,1753.5
